lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
-1.1485549,-7.688139,6.9320073,3.1875002,-5.0062504,-38.98125,1.3613122,-0.5761982,-0.62781626,80,80,206
-1.052842,-4.725825,6.7094746,1.4625001,-11.606251,-36.7125,3.4437501,-1.4185808,-0.7823651,100,100,206
-0.02871387,-1.7324036,6.73101,-1.9875001,-24.6,-29.6625,3.2281148,-0.4375319,0.12965605,100,100,206
0.62452674,1.0911272,8.236095,-6.3375,-35.287502,-19.987501,1.7876958,-1.4900519,0.7515164,97,97,206
2.1104696,1.6414764,9.958928,-10.368751,-38.362503,-13.406251,0.846964,-1.29091,0.41737336,97,97,206
3.7878382,3.1154552,12.593426,-11.868751,-37.40625,-8.793751,-0.72723454,0.9283618,-0.1989892,97,97,206
0.050249275,0.6221339,10.619347,-9.8625,-34.66875,-9.712501,0.82741636,1.0181589,0.5694787,70,70,206
-2.7493532,0.485743,17.00579,-10.51875,-35.4375,-9.900001,0.029016078,2.6852088,0.8975131,70,70,206
-1.6366907,3.8404803,8.874979,-12.31875,-37.48125,-11.625,0.620944,0.59421873,0.57741994,68,68,206
-0.8542377,3.1106694,8.79123,-14.45625,-38.662502,-9.7875,-0.024129158,-0.38438666,0.74174255,68,68,206
-0.45942193,0.7968099,8.109276,-18.1875,-37.55625,-10.96875,-0.9098831,0.07437278,-0.2423606,68,68,206
-2.4789643,1.7874385,11.97847,-15.69375,-36.73125,-13.725,-0.33444846,0.6149881,-2.0492985,69,69,206
-2.498107,0.36610186,12.0023985,-7.2375,-36.46875,-15.618751,-0.24404047,0.8251256,-1.7053818,69,69,206
-2.457429,-2.9240294,10.877771,0.16875,-35.71875,-16.21875,0.18173227,0.21059564,-3.3156214,72,72,206
-0.32542387,-1.1964114,10.006784,13.012501,-30.937502,-14.981251,-0.009468404,-1.0551162,-4.5477357,72,72,206
0.30867413,-0.8853444,9.734002,22.875,-22.10625,-14.043751,0.2764163,0.114079,-2.5343254,79,79,206
-2.3353949,-1.524228,10.442278,27.562502,-15.431251,-15.618751,0.6869174,1.2142465,-2.6907067,79,79,206
-0.89730847,-0.38763726,10.887343,30.6,-6.39375,-15.39375,0.1621846,1.0749693,-4.700452,82,82,206
-0.86141616,-2.6464617,11.033305,31.48125,9.543751,-14.606251,0.7852667,0.59727305,-4.1671667,82,82,206
-0.7968099,-0.88295156,10.224531,25.612501,20.868752,-15.806251,-0.12553272,0.37308568,-2.9124506,82,82,206
-0.2009971,-0.014356935,10.628919,19.725,28.425001,-16.81875,1.4840959,0.6033817,-3.9912376,57,57,206
-0.72023964,1.6319051,9.798609,7.6687503,32.86875,-19.6875,0.69058263,0.79152805,-4.275901,51,51,206
-0.701097,0.11006984,8.556734,-4.875,32.25,-22.63125,0.548862,-1.6409355,-3.5220935,51,51,206
1.2634103,0.5814559,8.851051,-17.081251,26.775002,-22.78125,-0.059559315,-1.5474732,-3.4952157,51,51,206
0.8757731,0.9020941,9.250652,-27.487501,18.375,-21.69375,0.10415245,-0.59452415,-2.7963862,63,63,206
1.1581261,1.9549361,12.284752,-32.625,9.356251,-19.95,-0.3601048,0.3260491,-2.36817,63,63,206
0.11964113,0.6221339,12.315858,-36.768753,-1.1812501,-17.456251,0.82069683,-0.19746204,-3.69619,88,88,206
-1.1078769,-0.07178468,9.616755,-36.5625,-14.2875,-15.262501,-0.17806709,-0.70997757,-3.8977754,88,88,206
-0.4977071,-0.4211368,8.097312,-30.525002,-24.862501,-13.781251,-0.10231985,-0.46440995,-3.7493353,89,89,206
0.21774685,0.8997013,8.898908,-21.28125,-33.05625,-13.200001,-0.4951059,-0.21395539,-1.162323,89,89,206
1.2969099,0.37328035,9.111869,-18.206251,-34.518753,-14.231251,0.22999059,0.63148147,-0.001069013,89,89,206
-0.10289137,1.2586247,10.064212,-16.78125,-35.23125,-13.406251,0.28252497,0.089033544,-0.6553052,89,89,206
-0.9954142,2.4023938,10.624132,-13.89375,-36.375,-11.887501,0.3149008,0.7353285,-0.46043932,89,89,206
-1.2897314,1.9716859,10.432707,-11.962501,-38.550003,-10.59375,-1.4272856,0.49342602,-0.045051277,90,90,206
-0.3397808,0.68195444,9.078369,-11.1,-36.54375,-16.44375,0.05650499,0.31566438,0.2988656,90,90,206
0.1268196,0.7537391,6.948757,-10.950001,-35.7,-16.5375,0.5861248,-1.8229733,-0.21670428,90,90,206
0.36610186,1.1126626,6.302695,-11.775001,-36.956253,-14.325001,0.52992517,-0.22250749,-0.69073534,90,90,206
-0.19621146,1.5002998,7.6977105,-9.337501,-37.95,-11.90625,-0.24953826,-0.2310596,-1.049313,93,93,206
-0.021535404,1.6390835,10.054641,-5.7375,-37.3875,-13.125001,-0.675311,-1.0025818,-0.3675879,93,93,206
0.06699903,0.28953153,10.669596,-5.025,-35.775,-15.1125,-0.02046397,-0.116217025,-1.0566434,93,93,206
0.44985065,-1.2586247,14.206188,0.16875,-33.05625,-17.475,-1.7974696,-0.59391326,-1.1708751,95,95,206
0.39960137,-0.43788654,13.395021,3.15,-27.618752,-23.1,-0.1432478,0.2716821,-1.4182754,95,95,206
1.3998013,0.031106694,15.524633,6.0375004,-24.562502,-26.1375,-0.2073886,0.09453133,0.7820596,96,96,206
2.0578275,-0.30149564,12.110075,5.11875,-25.031252,-25.893751,0.883005,0.3101666,0.116217025,96,96,206
1.4261223,0.10289137,9.635897,9.09375,-24.69375,-23.90625,0.2904662,0.16416991,-0.45494154,104,104,206
0.91884387,-0.8781659,8.91805,11.587501,-25.875002,-22.40625,0.33994624,-0.4735729,-0.37858346,104,104,206
2.105684,-0.19621146,7.4679995,12.50625,-26.38125,-23.925001,0.22632541,-0.653778,-0.44394597,107,107,206
1.8496519,0.15314065,7.793423,13.51875,-27.281252,-21.91875,0.36743516,0.6656899,-1.2417353,107,107,206
1.038485,1.134198,7.570891,18.300001,-26.156252,-20.60625,0.6667589,0.479987,-1.0792453,107,107,206
1.1676974,-0.009571291,8.554341,21.75,-25.3875,-18.1875,-0.07788526,-0.504727,-0.69623315,106,106,206
1.5290136,-0.6987042,9.35833,23.775002,-22.893751,-18.69375,0.37843072,0.43905905,-1.3797908,106,106,206
0.5479564,0.27996024,9.123833,27.35625,-19.743752,-17.268751,-0.08949169,-0.342237,-1.8471024,107,107,206
0.009571291,-0.38524446,10.116854,31.63125,-12.168751,-20.306252,-0.4150826,-0.19379686,-2.5691445,107,107,206
1.134198,0.24646074,12.897314,33.956253,-3.7875001,-21.69375,0.8365793,-1.29091,-2.765843,114,114,206
0.16749759,1.308874,9.480363,31.9125,2.79375,-23.00625,-0.109039366,-0.016646065,-2.4463608,114,114,206
0.15792629,0.011964113,8.63809,31.968752,11.94375,-25.218752,0.057726722,-0.7136428,-3.1622941,114,114,206
0.5910272,1.3232309,9.131011,26.19375,22.181252,-25.7625,-0.535423,0.3413207,-3.3608253,119,119,206
-0.56470615,1.268196,10.676775,20.00625,30.468752,-24.7875,-0.4242456,0.45249808,-1.7554727,119,119,206
0.22013968,-0.39960137,7.5828547,13.5375,35.100002,-21.993752,-0.7015782,-0.21151192,-1.8000658,120,120,206
-0.22013968,1.416551,9.734002,9.431251,36.24375,-22.462502,0.43768463,0.31932956,-1.1012365,120,120,206
-1.2323036,-0.43788654,10.9017,4.78125,34.7625,-23.4375,-0.24342962,0.45860672,-0.68218327,107,107,206
-1.8017955,-1.1389836,11.863615,2.5687501,34.3875,-21.91875,1.0357212,-2.0111196,-0.9466877,107,107,206
0.019142581,0.0526421,9.499506,-5.25,31.425001,-22.650002,0.57940525,-2.5889976,-0.7499892,107,107,206
2.213361,0.35174492,9.540184,-12.58125,30.7875,-22.931252,-0.1188132,-2.3006694,-0.674242,96,96,206
3.9314077,1.0097711,8.573483,-15.450001,32.4,-20.94375,0.1432478,-1.4753911,-0.13668099,96,96,206
5.65424,1.605584,6.9726853,-17.737501,33.600002,-18.46875,0.26480988,-1.7050763,0.17608178,96,96,206
7.300502,1.5840486,6.259624,-19.837502,33.693752,-14.418751,0.30757043,-1.9335397,0.20479241,96,96,206
8.817552,1.9980069,4.5894337,-21.65625,33.28125,-10.2375,0.31184646,-1.3910918,0.027641632,93,93,206
10.193424,1.550549,2.928815,-23.19375,32.5875,-7.7812505,0.3753764,-0.8516982,0.15775582,93,93,206
9.516255,0.4977071,2.4143581,-21.6375,33.61875,-9.1875,0.25503606,1.0835214,0.025198173,87,87,206
8.17149,0.57188463,3.2422748,-20.737501,32.53125,-13.2375,-0.45051277,2.9814782,0.057574004,87,87,206
