lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
-1.1174482,0.74895346,10.080962,4.275,22.800001,-28.7625,0.13469568,-0.9213368,-2.2138503,461,461,206
-0.4354937,0.4881358,10.090533,-1.35,23.775002,-29.23125,-0.15485422,0.055435978,-2.0116541,603,603,206
-0.086141616,0.22253251,10.167104,-6.8437505,22.425001,-28.800001,-0.018631376,-0.25427246,-2.4197118,603,603,206
0.3804588,0.1794617,9.870394,-13.05,20.85,-28.406252,-0.31734425,-0.36850417,-2.4337616,663,663,206
0.63888365,0.3062813,10.009177,-20.15625,16.893751,-27.075,0.0650571,-0.022754714,-2.111836,663,663,206
0.5240282,1.2442678,9.420543,-22.78125,12.7875,-25.81875,0.36621344,0.26190826,-0.5095376,663,663,206
-0.124426775,0.031106694,10.135997,-21.956251,11.1,-26.94375,0.19272783,0.26618433,0.60406893,692,692,206
-0.7298109,1.0743774,10.34178,-20.75625,12.01875,-28.218752,0.8384119,0.17944153,0.1673006,692,692,206
-0.7537391,3.3236306,9.860822,-19.66875,10.387501,-29.79375,0.61422455,0.5905535,-0.35376707,689,689,206
0.57188463,1.5529419,9.54497,-18.6,8.2875,-31.5375,0.5910117,0.17333288,-0.7263946,689,689,206
-0.19381863,1.847259,8.671589,-18.075,5.55,-32.925003,0.3442223,-0.1913534,-1.3109921,687,687,206
-1.3710874,1.9190438,7.042077,-20.19375,1.40625,-31.875002,0.4951059,-0.53038335,-0.52603096,687,687,206
-1.4883357,2.210968,7.62114,-23.34375,-1.3125,-29.831251,-0.27030766,-0.22556181,-0.63293225,722,722,206
-1.7371893,2.5028925,8.939586,-24.900002,-1.4625001,-30.150002,-0.34727663,-0.15103632,-0.4899899,722,722,206
-0.7609176,1.9549361,10.090533,-26.1375,-1.1812501,-29.062502,-0.47189304,-0.504727,0.337121,722,722,206
-0.35653058,1.9573289,10.954342,-27.825,0.28125,-28.087502,-0.6172789,0.095142186,0.23938264,791,791,206
-0.27038896,1.0576276,10.693524,-28.725,2.60625,-27.35625,-0.286801,0.36942047,-0.52175486,791,791,206
-0.6029913,0.47856453,10.157532,-28.237501,2.30625,-29.156252,-0.67775446,-7.64E-04,-0.2945132,871,871,206
-0.43788654,-0.40917268,10.942378,-28.425001,3.80625,-28.237501,-0.5659662,-0.18524474,-0.37942338,871,871,206
0.016749758,-0.02632105,10.365707,-30.487501,3.6562502,-27.937502,-0.2556469,-0.19196425,0.19234605,982,982,206
0.77766734,-0.52163535,10.286744,-31.406252,5.2875004,-28.181252,0.032070402,-0.28725916,0.4012618,982,982,206
0.7106683,-0.72023964,10.585847,-31.425001,6.7500005,-27.7875,0.008857539,-0.113162704,0.18196134,1145,1145,206
0.4977071,-0.79441714,12.559926,-31.9125,7.0687504,-28.2,-0.02535089,-0.19807291,0.32307112,1145,1145,206
0.1363909,-0.8422736,13.119846,-33.15,6.7875004,-26.681252,0.15118903,0.084757484,0.45990482,1250,1250,206
0.27038896,-0.23688944,13.196417,-31.143751,9.0375,-27.675001,0.22143848,-0.006872229,0.7268527,1250,1250,206
-0.25603202,-0.37806597,13.718052,-29.38125,9.4875,-28.518751,0.28619015,0.34681848,0.32979062,1251,1251,206
0.009571291,-0.038285162,12.256038,-29.175001,8.475,-27.375002,0.7638864,-0.43997535,0.76778066,1251,1251,206
-0.19860429,0.1052842,9.209974,-27.075,9.95625,-26.868752,0.101708986,0.38347036,0.5637518,1251,1251,206
-0.011964113,0.5694918,8.377272,-24.956251,10.78125,-27.88125,0.118202336,-0.045967575,0.8123738,1076,1076,206
-0.18185452,1.0719845,7.987242,-22.44375,12.806251,-27.993752,0.033902995,0.37614,0.49716756,1076,1076,206
-0.6795616,0.6053841,8.829515,-19.6875,14.962501,-28.331251,-0.26664248,0.43050694,1.1391865,924,924,206
-0.5623133,0.5096712,8.817552,-16.48125,18.5625,-28.593752,-0.2489274,0.2509127,1.3413827,924,924,206
-0.7680961,0.12921242,8.118847,-12.712501,20.8125,-28.462502,0.094378605,-0.5878046,1.2607485,812,812,206
