lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0.30149564,0.11964113,11.160125,-36.28125,18.31875,-24.73125,-0.09498947,-0.274431,-2.391383,353,353,206
-0.4953143,0.70348984,11.760723,-40.912502,8.38125,-23.8125,-0.11514801,-0.7313579,-2.7829473,563,563,206
-0.57427746,1.038485,9.12144,-43.74375,-1.85625,-20.34375,0.010079269,-0.16936226,-1.1592686,563,563,206
0.062213387,1.2921243,9.439685,-43.987503,-6.39375,-20.118752,0.21288638,0.1904371,-0.24541493,665,665,206
0.9092726,1.0336994,8.841479,-43.0875,-8.2875,-20.8125,0.18906265,0.2924515,-0.8300125,665,665,206
0.02871387,1.0169497,9.827323,-41.30625,-12.093751,-22.9125,-0.19700389,0.09025527,-0.7011201,665,665,206
0.68195444,1.4739788,9.973285,-40.55625,-14.08125,-23.1375,-0.066889696,0.13668099,-1.2417353,636,636,206
-0.05742774,1.7156538,11.389835,-38.756252,-17.7,-24.656252,0.101708986,-0.15347977,-1.0291544,636,636,206
-0.37328035,1.0480564,10.473385,-37.55625,-21.45,-24.468752,0.5085449,0.28878632,-0.64003354,636,636,206
-0.23688944,1.2035898,8.559127,-37.068752,-25.275002,-23.775002,0.7687733,-0.64828026,-0.570395,636,636,206
-0.8757731,1.7491534,8.059027,-37.068752,-28.331251,-21.675001,0.34483317,-0.32696536,-0.5080868,647,647,206
-0.68195444,3.3260236,9.578469,-35.456253,-32.006252,-20.98125,0.15913028,0.10674862,-1.0859649,647,647,206
0.91166544,3.0963125,8.63809,-31.706251,-36.45,-22.06875,-0.40286532,-0.09544762,-1.7328707,628,628,206
-1.605584,1.6175481,10.535598,-24.300001,-39.61875,-23.6625,-0.7644973,1.3174826,-2.62962,628,628,206
-1.5768701,1.4931214,11.413764,-13.1625,-42.54375,-25.0125,1.1804962,-1.548695,-1.6662863,628,628,206
-1.5122639,-0.33020952,9.025727,-8.512501,-44.100002,-22.66875,-0.47494736,-0.61162835,-2.2227843,628,628,206
-2.105684,-0.57188463,8.843872,-1.8937501,-43.21875,-25.181252,-1.0839796,-1.1045963,-1.3339759,628,628,206
-0.46181476,-1.9788643,9.255438,1.48125,-39.018753,-30.431252,-0.024129158,1.053589,-1.5483896,657,657,206
-1.7347964,0.09571291,9.628718,9.58125,-38.193752,-30.54375,0.9801325,0.16844596,-0.49525863,657,657,206
-2.0482562,0.11964113,9.923036,11.8125,-39.206253,-27.150002,-0.4816669,0.606436,-1.5257875,653,653,206
-3.3930225,-1.0217353,11.440085,18.056252,-34.74375,-27.712502,-0.00641408,-0.090560704,-1.997986,653,653,206
-0.88295156,0.23449662,10.327422,21.806252,-28.800001,-31.031252,1.0845904,-1.1614066,0.075289086,653,653,206
0.25124636,1.1700903,10.080962,17.081251,-32.5125,-30.393751,0.77182764,1.6070325,1.774104,635,635,206
0.48095736,-0.74177504,9.286545,15.806251,-37.256252,-26.081251,0.29779658,0.5050325,1.3507748,635,635,206
-0.09092726,0.79920274,8.355737,11.45625,-40.893753,-24,-0.16279547,0.24724752,1.5938989,595,595,206
-3.400201,-0.41156548,7.850851,6.15,-43.725002,-22.462502,0.36071566,1.098793,1.0251838,595,595,206
-1.7036897,6.0777693,9.868001,4.3500004,-45.45,-20.1,-1.1621703,0.6882919,1.3672681,543,543,206
1.1270195,2.9575288,7.23111,-1.7062501,-45.28125,-21.337502,1.2299762,-1.1223114,1.5163192,543,543,206
-0.16510476,2.605784,6.8410797,-6,-45.675003,-15.993751,-0.2593121,-0.36422813,-1.0829105,543,543,206
-0.99302137,1.9525433,8.666803,-4.2937503,-46.612503,-16.237501,0.13897173,-0.55298537,-0.7817542,523,523,206
-2.469393,2.9359934,9.506684,-1.6500001,-47.0625,-16.5375,-0.47494736,-0.37278023,-1.8739804,523,523,206
-2.8546374,1.6558332,10.576276,2.625,-45.65625,-18.91875,-0.51282096,-1.0202969,-0.502589,521,521,206
-0.7369894,0.32303107,10.872986,1.0875001,-43.0875,-23.175001,-0.79198617,-0.6012437,0.38744098,521,521,206
-0.32063824,-0.09571291,11.727223,-2.04375,-39.600002,-29.625002,-1.2470804,-0.54382235,0.41798422,515,515,206
0.04546363,-0.3589234,11.815758,-4.6875,-34.74375,-35.90625,-0.80481434,0.30039275,-0.5593994,515,515,206
-0.15314065,0.08853444,11.02852,-1.95,-32.006252,-38.71875,-0.3686569,-0.075289086,-0.16844596,519,519,206
-0.34456646,-1.2514462,13.174882,-0.82500005,-29.79375,-39.5625,-0.539699,0.023060145,-0.12018765,519,519,206
0.7680961,-0.6197411,10.033105,-0.0375,-28.3875,-41.41875,0.41263917,-0.27504188,-0.069485866,629,629,206
0.09810573,-0.7609176,9.174082,-0.39375,-30.862501,-39.862503,0.4071414,0.2997819,-0.75976306,629,629,206
0.2321038,-1.2705889,11.504691,3.3937502,-31.1625,-39.09375,0.22327107,-0.028863361,-0.502589,707,707,206
-0.23688944,0.6580262,12.241681,4.125,-31.781252,-37.03125,0.4657844,0.23014331,0.07345649,707,707,206
-0.43788654,0.41874397,13.598412,6.0750003,-31.781252,-36.6375,-0.21655156,0.35598144,0.27748534,685,685,206
-0.7298109,0.2440679,11.406586,5.45625,-31.087502,-36.018753,0.34849834,-0.10827578,0.5737547,685,685,206
-0.8877372,-0.5982057,9.489935,2.775,-32.381252,-33.61875,0.15913028,0.16722423,0.879798,685,685,206
-0.11485548,-0.57188463,8.992228,0.0375,-31.3875,-31.95,0.21166465,0.16722423,0.8474222,598,598,206
-0.64606214,-0.782453,7.216753,-3.5812502,-30.54375,-30.468752,0.2611447,-0.22006404,0.8431461,598,598,206
-0.2321038,0.15553348,7.568498,-8.75625,-30.13125,-29.156252,-0.18112141,-0.18890993,0.69409513,521,521,206
-0.8709874,0.14117654,8.415557,-12.093751,-27.712502,-30.375002,0.16707152,-0.15225805,0.5175552,521,521,206
-0.29910284,0.42592242,8.79123,-13.406251,-26.456251,-28.66875,0.61055934,0.007788526,0.6146827,496,496,206
