lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,orientation.x,orientation.y,orientation.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0.797,4.32,8.878,-40.8,-15.24,-18.72,97.34375,-26.203123,4.59375,0.020342,0.00317,-0.01469,65,0,0
0.878,4.184,8.866,-40.379997,-15.54,-18.96,97.390625,-25.296877,4.984375,0.020107,-0.00409,-0.012877,65,0,0
0.885,4.148,8.643,-39.96,-15.299999,-18.72,97.53125,-25.484377,5.09375,0.006729,-0.034698,-4.90E-04,65,0,0
0.792,4.119,8.844,-40.379997,-15.24,-18.48,97.828125,-24.46875,4.796875,-0.015402,-0.038729,-0.014141,65,0,0
0.847,3.987,8.739,-40.8,-14.82,-18.66,97.78125,-24.671877,4.984375,-0.030692,-0.020675,-0.019002,62,0,0
0.967,3.904,8.633,-40.5,-15.059999,-18.779999,97.640625,-24.15625,5.828125,-0.042048,-0.01645,-1.71E-04,62,0,0
1.072,3.889,8.945,-39.899998,-14.639999,-18.48,97.578125,-23.421877,6.3125,-0.047397,-0.065463,0.022055,62,0,0
1.136,4.205,8.933,-40.079998,-15,-19.38,97.078125,-24.765623,6.359375,-0.050544,-0.052115,0.022131,64,0,0
1.065,3.956,9.193,-39.96,-14.94,-19.8,97.734375,-23.109377,5.890625,-0.032573,-0.014181,0.02694,64,0,0
1.05,3.978,8.447,-39.66,-13.559999,-19.38,95.734375,-24.546877,5.546875,-0.011514,-0.003237,0.02917,64,0,0
1.369,3.99,9.689,-40.02,-13.32,-19.02,96.109375,-22.203123,6.734375,0.047815,0.043507,0.135712,65,0,0
1.464,4.545,8.399,-41.16,-13.2,-19.38,92.296875,-28.140623,9.09375,0.01664,-0.006629,0.111546,65,0,0
1.251,4.042,9.189,-41.46,-13.5,-18.72,94.859375,-23.84375,7.171875,0.112636,-0.03807,0.152249,65,0,0
1.139,4.188,8.813,-41.28,-13.0199995,-18.6,94.109375,-24.859377,6.03125,0.064159,-0.01357,0.056961,65,0,0
1.625,3.293,10.833,-41.46,-11.7,-18.779999,95.625,-16.625,8.140625,0.02612,-0.034451,0.04622,67,0,0
1.031,3.643,8.332,-40.62,-9.9,-20.88,92.265625,-23.328123,6.890625,-0.209691,-0.116008,0.099761,67,0,0
-0.952,3.008,9.399,-39.66,-9.599999,-23.58,91.75,-18.5625,-4.875,-0.084676,0.422721,0.133279,67,0,0
0.102,2.525,9.517,-39.3,-9.36,-24.779999,94.390625,-14.796875,0.390625,-0.305939,0.65467,-0.080922,71,0,0
-0.253,2.621,8.356,-39.96,-8.5199995,-24.18,91.90625,-17.734377,-1.265625,-0.366365,0.349367,-0.091818,71,0,0
0.418,2.726,10.491,-40.26,-8.639999,-23.699999,92.484375,-14.46875,2.125,-0.155802,0.14914,0.055514,71,0,0
0.256,3.264,8.964,-40.559998,-7.44,-24.66,89.421875,-19.859377,2.09375,-0.092983,-0.063885,0.098012,70,0,0
-0.026,3.073,8.698,-40.559998,-7.14,-24.66,88.296875,-19.453123,-0.34375,0.045583,-0.020122,0.204675,70,0,0
0.703,3.559,9.277,-40.379997,-6.06,-24.119999,86.078125,-20.5625,4.390625,0.135833,0.08802,0.254666,70,0,0
0.04,3.774,10.359,-41.1,-6.06,-23.16,85.84375,-20.515623,0.5625,0.187464,0.027559,0.269672,70,0,0
0.067,3.221,10.596,-41.219997,-6.3599997,-22.8,86.18751,-18.09375,0.21875,0.13904,0.028401,0.135254,76,0,0
0.545,2.496,9.22,-40.26,-7.74,-21.72,92.40625,-14.859375,2.09375,-0.20438,-0.010358,-0.161851,76,0,0
1.68,2.372,8.054,-40.62,-9.54,-21.3,91.34375,-16.5625,11.265625,-0.221951,-0.425126,-0.202204,76,0,0
0.5,1.84,9.866,-41.16,-11.34,-20.58,98.56249,-10.46875,3.015625,-0.178774,-0.46378,-0.302216,79,0,0
1.632,3.604,8.782,-41.46,-10.5,-21.18,92.56249,-22.171877,9.5625,-0.190528,-0.104689,-0.362718,79,0,0
1.213,2.932,9.715,-41.52,-9.24,-20.82,92.875,-16.6875,7.125,0.261158,-0.086284,0.052879,79,0,0
1.172,3.497,9.387,-41.28,-9.12,-21.3,91.31249,-20.140623,6.453125,0.090934,-0.050128,0.13074,75,0,0
1.409,3.92,8.995,-41.28,-8.46,-22.26,86.921875,-23.84375,8.421875,0.192181,0.003937,0.184506,75,0,0
0.923,3.573,10.28,-40.559998,-8.04,-22.859999,89.390625,-18.765623,4.65625,0.252045,0.040625,0.250889,75,0,0
0.677,3.956,9.785,-40.32,-7.62,-23.22,85.609375,-22.65625,3.921875,0.101218,0.094518,0.170283,75,0,0
0.576,2.877,8.681,-41.16,-8.04,-22.68,90.625,-18.09375,3.4375,0.057017,0.235012,0.05267,85,0,0
0.667,2.58,8.394,-41.16,-8.34,-22.5,89.328125,-17.5,4.765625,-0.116521,0.118136,-0.066562,85,0,0
-0.083,2.544,9.189,-41.16,-7.7999997,-22.02,92.46875,-15.296875,-0.8125,-0.067506,0.041366,-0.068,85,0,0
1.266,3.652,9.859,-41.16,-6.6,-22.92,88.328125,-19.84375,6.78125,-0.19871,0.137655,-0.145281,78,0,0
0.306,3.544,8.71,-41.219997,-5.8199997,-23.88,84.703125,-22.359377,1.984375,0.12216,-0.019345,0.222992,78,0,0
0.9,3.671,9.138,-41.52,-5.4,-23.82,83.890625,-22,5.09375,0.219194,0.111308,0.283657,78,0,0
0.725,3.963,9.653,-41.82,-5.52,-23.279999,83.375,-22.203123,4.0625,0.133604,0.071475,0.216092,86,0,0
0.612,4.598,8.878,-41.82,-6.6,-22.859999,83.671875,-27.546877,3.78125,0.092571,0.009835,0.12771,86,0,0
0.102,3.296,9.519,-40.98,-8.5199995,-22.8,90.359375,-18.5,0,0.006527,0.103703,-0.179424,86,0,0
1.206,3.078,8.995,-41.219997,-9.599999,-22.98,89.859375,-18.734377,6.890625,-0.180069,-0.027293,-0.339496,84,0,0
0.976,3.197,7.714,-41.1,-11.759999,-21.96,91.578125,-21.875,6.625,-0.056622,-0.340279,-0.191938,84,0,0
0.876,3.882,9.153,-40.5,-12.96,-21,95.93751,-22.390623,5.375,-0.090454,-0.301781,-0.335654,84,0,0
1.44,3.947,7.484,-40.5,-12.96,-20.88,90.90625,-27.671877,9.5,0.138862,-0.16457,-0.212393,84,0,0
0.801,3.195,10.768,-41.16,-12.9,-20.46,95.90625,-17.203123,4.140625,0.321735,-0.115171,-0.011425,82,0,0
0.849,3.942,10.776,-41.579998,-12,-20.88,96.18751,-20.671877,5.046875,-0.304954,-0.024943,-0.293073,82,0,0
0.725,4.011,9.038,-40.32,-11.46,-22.32,91.65625,-24.703123,5.75,-0.09422,0.007771,-0.022891,82,0,0
-0.155,1.591,10.295,-40.2,-11.4,-23.4,96.875,-9.953125,0.875,0.012259,0.025792,0.112111,56,0,0
-0.909,3.03,6.69,-40.32,-12,-23.76,97.125,-23.875,-6.765625,-0.524683,0.281439,-0.299052,56,0,0
0.536,3.695,9.019,-40.5,-12.24,-22.92,94.359375,-22.234377,3.828125,0.181501,0.300202,0.030224,56,0,0
-0.141,3.537,9.433,-40.8,-11.46,-22.68,95.421875,-19.1875,-1.015625,0.142572,-0.02954,0.079234,59,0,0
1.184,4.346,8.212,-41.1,-11.7,-22.56,90.046875,-27.4375,6.8125,0.12796,0.027004,0.100607,59,0,0
0.406,3.81,8.581,-42.059998,-12.96,-20.699999,92.59375,-24,2.578125,0.387858,-0.051314,0.258877,59,0,0
0.495,4.351,9.014,-41.579998,-14.219999,-19.5,96.421875,-25.203123,3.5,0.15596,-0.096532,-0.063206,59,0,0
-0.157,3.035,9.947,-40.68,-15.059999,-19.619999,97.984375,-19.296877,-0.359375,0.04482,-0.015355,-0.25741,56,0,0
0,2.443,9.081,-39.719997,-15.54,-20.76,104.171875,-14.734375,-0.34375,-0.436619,0.053506,-0.520667,56,0,0
1.687,3.353,7.97,-38.76,-16.8,-21,99.828125,-23.296877,11.171875,-0.311131,-0.187764,-0.332844,56,0,0
0.004,3.305,8.889,-38.219997,-17.1,-21.66,104.06249,-19.359377,-0.640625,-0.053537,-0.286517,-0.171898,56,0,0
0.078,4.131,8.578,-37.62,-16.56,-22.619999,99.203125,-25.453123,1.015625,0.033518,0.047221,-0.120716,56,0,0
0.16,4.1,9.981,-37.68,-16.74,-23.1,99.25,-22.46875,1.375,0.288014,0.134264,0.133412,56,0,0
0.205,3.846,9.778,-37.98,-16.5,-23.76,99.65625,-21.921877,1.125,0.074401,0.072793,0.044311,57,0,0
0.909,4.646,8.842,-38.28,-16.32,-23.16,96.53125,-28.265623,4.0625,0.019733,0.089271,0.01773,57,0,0
-0.562,0.986,10.151,-39.3,-16.02,-23.16,106.921875,-4.84375,-2.75,-0.305461,-0.123261,-0.140612,57,0,0
-0.507,2.934,7.791,-39.36,-16.5,-22.199999,100.265625,-21.140623,-3.671875,-0.44817,0.183837,-0.283967,57,0,0
-0.95,2.372,10.737,-39.12,-16.8,-21.66,104.671875,-12.375,-5.234375,0.024627,0.266081,-0.047115,56,0,0
-0.09,3.08,8.59,-39.18,-15.96,-23.82,103.31249,-18.71875,-1.015625,-0.244857,0.153513,-0.209608,56,0,0
0.533,3.841,9.007,-39,-15.24,-23.58,95.078125,-24.1875,4.34375,0.377874,-0.191373,0.353234,56,0,0
0.011,3.846,9.847,-39,-14.4,-22.98,97.21875,-21.15625,0.453125,0.362235,-0.177542,0.437409,57,0,0
-0.263,3.638,10.345,-38.879997,-15.54,-23.1,98.43751,-19.890623,-1.5625,0.086835,0.031355,0.137324,57,0,0
